,city,lat,lng,max_temp,humidity,cloudiness,wind_speed,country,date
203,Pogar,52.55,33.26,48.52,90,17,4.21,RU,1597450479
204,Province of Mantua,45.17,10.78,70.0,81,93,1.99,IT,1597450479
205,Diamantino,-14.41,-56.45,81.79,27,4,4.81,BR,1597450480
206,Gold Coast,-28.0,153.43,69.01,72,75,12.75,AU,1597450429
207,Djambala,-2.54,14.75,71.22,75,18,5.64,CG,1597450480
208,Saskylakh,71.92,114.08,45.34,66,87,4.94,RU,1597450480
209,Hualmay,-11.1,-77.61,59.52,82,60,11.32,PE,1597450480
210,San Quintín,30.48,-115.95,79.86,51,10,13.13,MX,1597450481
211,Ngunguru,-35.62,174.5,57.99,3,85,8.99,NZ,1597450481
212,Santa Cruz de la Sierra,-17.8,-63.17,73.4,88,75,10.29,BO,1597450406
213,Buraidah,26.33,43.98,84.2,37,61,3.36,SA,1597450382
214,Udangudi,8.43,78.02,79.72,72,100,12.17,IN,1597450481
215,Srandakan,-7.94,110.25,77.31,86,25,5.59,ID,1597450482
216,Venado Tuerto,-33.75,-61.97,48.99,52,0,4.0,AR,1597450482
217,Port-Gentil,-0.72,8.78,77.0,88,90,15.73,GA,1597450482
218,Palmer,42.16,-72.33,82.4,45,75,5.82,US,1597450482
219,Fuyu,45.18,124.82,69.46,81,3,10.2,CN,1597450482
220,Lukovetskiy,64.3,41.92,53.6,93,40,4.47,RU,1597450483
221,Puerto Madryn,-42.77,-65.04,48.07,49,11,18.81,AR,1597450264
222,Yellowknife,62.46,-114.35,59.0,67,75,21.92,CA,1597450483
223,Maralal,1.1,36.7,60.82,91,100,0.85,KE,1597450483
224,Ahar,38.48,47.07,61.29,65,0,5.26,IR,1597450484
225,Beringovskiy,63.05,179.32,57.33,67,53,17.02,RU,1597450484
226,Jieshi,22.81,115.83,83.01,74,0,1.81,CN,1597450484
227,Bathsheba,13.22,-59.52,80.6,78,20,6.93,BB,1597450484
228,Alihe,50.57,123.72,62.44,77,83,7.92,CN,1597450484
229,Ancud,-41.87,-73.82,39.99,86,75,14.99,CL,1597450485
230,Dakar,14.69,-17.44,82.4,83,40,2.24,SN,1597450485
231,Mar del Plata,-38.0,-57.56,53.01,70,83,4.7,AR,1597450485
232,Careiro da Várzea,-3.2,-59.81,86.0,66,55,4.7,BR,1597450485
233,Gigmoto,13.78,124.39,81.66,80,100,4.97,PH,1597450485
234,Bosaso,11.28,49.18,91.54,39,96,18.5,SO,1597450486
235,Hauterive,46.09,3.45,66.2,77,21,3.36,FR,1597450486
236,Uruguaiana,-29.75,-57.09,59.0,87,63,6.93,BR,1597450486
237,Tarime,-1.35,34.37,71.6,83,75,5.82,TZ,1597450206
238,Kaputa,-8.47,29.66,64.98,39,58,0.38,ZM,1597450486
239,Tasiilaq,65.61,-37.64,44.6,52,0,4.36,GL,1597450487
240,Sagua de Tánamo,20.58,-75.24,79.95,80,85,4.81,CU,1597450487
241,Tiksi,71.69,128.87,40.21,83,100,10.87,RU,1597450487
242,Chokurdakh,70.63,147.92,39.96,79,100,4.92,RU,1597450487
243,Ust-Kuyga,70.02,135.6,36.5,91,99,7.94,RU,1597450487
244,Sinnamary,5.38,-52.95,80.29,80,5,11.7,GF,1597450487
245,Rusape,-18.53,32.13,46.36,86,0,3.38,ZW,1597450488
246,Visnes,59.36,5.22,57.99,87,80,14.99,NO,1597450488
247,Novikovo,51.15,37.89,49.19,83,0,6.98,RU,1597450488
248,Bartica,6.4,-58.62,78.8,94,20,6.93,GY,1597450488
249,Arraial do Cabo,-22.97,-42.03,72.63,85,19,23.98,BR,1597450459
250,Benguela,-12.58,13.41,67.57,86,65,5.55,AO,1597450489
251,Araguaína,-7.19,-48.21,81.52,37,31,3.36,BR,1597450489
252,Salinópolis,-0.61,-47.36,80.55,81,99,14.43,BR,1597450489
253,Baruun-Urt,46.68,113.28,65.59,63,0,3.85,MN,1597450489
254,Flinders,-34.58,150.86,62.01,74,99,4.0,AU,1597450489
255,Caconda,-13.73,15.07,52.21,41,0,1.88,AO,1597450265
256,Arni,12.67,79.28,79.07,65,100,5.68,IN,1597450490
257,Nanortalik,60.14,-45.24,43.14,81,83,6.55,GL,1597450490
258,Havre-St-Pierre,50.23,-63.6,62.6,67,1,6.93,CA,1597450490
259,Shimoda,34.67,138.95,84.2,89,75,3.36,JP,1597450490
260,Santiago,-33.46,-70.65,50.0,66,25,5.82,CL,1597450490
261,Lexington,37.99,-84.48,80.6,65,1,9.17,US,1597450476
262,Kampot,10.62,104.18,78.8,88,40,3.22,KH,1597450491
263,Comodoro Rivadavia,-45.87,-67.5,42.8,52,100,23.04,AR,1597450349
264,Lagoa,39.05,-27.98,73.33,78,59,12.59,PT,1597450491
265,Penzance,50.12,-5.54,64.0,100,100,8.05,GB,1597450492
266,Kumul,42.8,93.45,70.27,50,72,12.3,CN,1597450492
267,Saldanha,-33.01,17.94,57.2,76,73,6.93,ZA,1597450492
268,Leningradskiy,69.38,178.42,61.88,43,31,12.53,RU,1597450492
269,Portales,34.19,-103.33,86.0,34,75,18.34,US,1597450492
270,Harper,4.38,-7.72,75.76,83,50,9.8,LR,1597450492
271,Castro,-24.79,-50.01,62.56,83,37,5.41,BR,1597450493
272,Zhangaözen,43.3,52.8,73.51,39,83,18.3,KZ,1597450493
273,Burnie,-41.07,145.92,53.01,80,23,11.01,AU,1597450493
274,Cabedelo,-6.98,-34.83,73.4,94,40,6.93,BR,1597450493
275,Mahabalipuram,12.63,80.17,82.4,74,75,4.7,IN,1597450493
276,Palana,59.12,159.97,57.02,64,44,5.66,RU,1597450494
277,Damietta,31.42,31.81,77.0,88,0,9.17,EG,1597450494
278,Lyuban',52.8,28.0,52.5,89,47,2.89,BY,1597450494
279,Coffs Harbour,-30.3,153.13,70.0,68,61,11.41,AU,1597450289
280,Alofi,-19.06,-169.92,75.2,94,27,9.17,NU,1597450494
281,Kruisfontein,-34.0,24.73,46.74,89,0,5.06,ZA,1597450494
282,Mossamedes,-15.2,12.15,60.21,91,40,8.25,AO,1597450495
283,Praia,14.92,-23.51,77.0,94,90,6.93,CV,1597450495
284,Juegang,32.32,121.19,83.68,79,29,11.16,CN,1597450495
285,Boa Vista,2.82,-60.67,84.2,74,40,3.36,BR,1597450429
286,Altay,47.87,88.12,56.5,79,100,1.45,CN,1597450496
287,Einsiedeln,47.12,8.75,66.0,100,15,3.36,CH,1597450496
288,Muscatine,41.47,-91.13,84.2,51,1,5.82,US,1597450496
289,Sur,22.57,59.53,86.7,60,95,5.99,OM,1597450497
290,Bagdarin,54.43,113.6,57.2,84,91,0.85,RU,1597450497
291,Constantine,36.37,6.61,82.4,39,40,9.17,DZ,1597450497
292,Qian’an,44.99,124.06,70.02,73,0,12.24,CN,1597450497
293,Oistins,13.07,-59.53,80.6,78,20,6.93,BB,1597450497
294,Sol'-Iletsk,51.16,54.99,63.27,51,96,6.42,RU,1597450497
295,Manadhoo,5.77,73.38,81.81,78,100,11.25,MV,1597450498
296,Río Blanco,18.83,-97.15,68.9,74,30,5.68,MX,1597450498
297,Kaeo,-35.1,173.78,57.99,3,60,8.99,NZ,1597450498
298,Kharan,28.58,65.42,89.96,41,12,5.17,PK,1597450498
299,Bambous Virieux,-20.34,57.76,69.8,73,40,8.05,MU,1597450498
300,Vardø,70.37,31.11,52.05,91,100,3.44,NO,1597450499
301,Los Llanos de Aridane,28.66,-17.92,73.4,73,75,17.22,ES,1597450499
302,Loralai,30.37,68.6,79.16,62,0,4.25,PK,1597450499
303,Xam Nua,20.42,104.04,68.72,92,81,1.12,LA,1597450499
304,Cepu,-7.15,111.59,78.1,80,0,4.32,ID,1597450500
305,Esperance,-33.87,121.9,46.4,93,28,10.29,AU,1597450500
306,Nuuk,64.18,-51.72,42.8,87,75,18.34,GL,1597450500
307,Boyolangu,-8.12,111.89,76.06,87,37,2.28,ID,1597450500
308,Shizilu,35.17,118.83,80.4,92,100,6.26,CN,1597450500
309,Rojhan,28.69,69.95,94.8,51,2,11.32,PK,1597450501
310,Kupang,-10.17,123.58,82.4,65,20,10.29,ID,1597450501
311,Dauphin,51.15,-100.05,75.2,38,1,4.7,CA,1597450471
312,San Patricio,19.22,-104.7,86.0,74,75,11.41,MX,1597450501
313,Jodhpur,26.29,73.03,82.27,82,100,14.9,IN,1597450501
314,Tecpan,14.76,-90.99,71.6,73,40,18.34,GT,1597450502
315,São Filipe,14.9,-24.5,77.7,88,83,5.88,CV,1597450502
316,Nantucket,41.28,-70.1,73.4,78,1,14.99,US,1597450446
317,Todos Santos,23.45,-110.22,95.0,51,8,1.99,MX,1597450503
318,Kloulklubed,7.04,134.26,82.4,78,75,5.82,PW,1597450503
319,Kieta,-6.22,155.63,84.54,66,100,3.4,PG,1597450503
320,Rongcheng,30.63,117.85,84.0,97,29,2.66,CN,1597450503
321,Baijiantan,45.63,85.18,68.79,52,21,6.33,CN,1597450504
322,Beckley,37.78,-81.19,69.8,94,90,3.36,US,1597450504
323,Rudnogorsk,57.26,103.75,50.58,61,0,5.99,RU,1597450504
324,Codrington,-38.27,141.97,52.23,89,57,6.64,AU,1597450504
325,Bermeo,43.42,-2.72,69.8,83,75,3.44,ES,1597450504
326,Baykit,61.67,96.37,54.66,57,1,5.41,RU,1597450505
327,Tual,-5.67,132.75,79.7,83,89,17.49,ID,1597450505
328,Ashcroft,50.72,-121.29,86.0,27,20,9.17,CA,1597450505
329,Nyurba,63.28,118.33,49.91,65,97,7.05,RU,1597450505
330,Gornyak,50.99,81.47,55.31,88,5,2.08,RU,1597450505
331,Svetlyy Yar,48.47,44.78,51.8,76,34,6.71,RU,1597450506
332,Oskarshamn,57.26,16.45,59.0,100,0,2.24,SE,1597450506
333,Rawson,-43.3,-65.1,46.56,52,29,14.65,AR,1597450506
334,Biltine,14.53,20.92,78.98,74,79,5.64,TD,1597450506
335,Martapura,-3.42,114.85,77.0,94,20,2.24,ID,1597450344
336,Enumclaw,47.2,-121.99,82.99,37,0,3.0,US,1597450506
337,Mahébourg,-20.41,57.7,69.8,73,40,8.05,MU,1597450507
338,Gorin,51.2,136.67,57.92,96,100,6.24,RU,1597450507
339,Neijiang,29.58,105.06,77.99,94,100,4.68,CN,1597450507
340,Zuwārah,32.93,12.08,82.85,47,0,7.47,LY,1597450507
341,Hvittingfoss,59.48,10.02,61.0,91,62,1.03,NO,1597450508
342,Sirte,31.21,16.59,77.74,78,0,5.32,LY,1597450508
343,Salalah,17.02,54.09,77.0,94,75,3.36,OM,1597450508
344,Yerbogachën,61.28,108.01,48.29,64,0,9.69,RU,1597450508
345,Teya,60.38,92.63,58.6,76,45,3.44,RU,1597450509
346,Tamiahua,21.27,-97.45,84.34,70,2,8.77,MX,1597450509
347,Balkanabat,39.51,54.37,85.37,25,62,2.84,TM,1597450509
348,Torbay,47.67,-52.73,57.99,93,90,11.41,CA,1597450509
349,Avera,33.19,-82.53,77.0,74,75,4.7,US,1597450509
350,Kiruna,67.86,20.23,51.8,71,100,8.05,SE,1597450510
351,Aklavik,68.22,-135.01,53.6,87,90,4.7,CA,1597450510
352,Mandalgovi,45.76,106.27,63.43,55,96,9.51,MN,1597450510
353,Fort Nelson,58.81,-122.7,66.2,55,75,8.05,CA,1597450510
354,Kupiškis,55.83,24.97,56.62,93,40,4.41,LT,1597450510
355,Kanye,-24.97,25.33,45.16,86,0,9.55,BW,1597450511
356,Nālūt,30.33,10.85,78.69,29,0,11.54,LY,1597450511
357,Zehdenick,52.98,13.33,64.0,78,95,4.74,DE,1597450511
358,Malanje,-9.54,16.34,59.25,96,0,5.64,AO,1597450511
359,Keansburg,40.44,-74.13,79.0,75,28,11.21,US,1597450512
360,Ahipara,-35.17,173.17,58.24,69,13,7.14,NZ,1597450512
361,Kamenka,51.32,42.77,54.0,79,99,10.0,RU,1597450512
362,Wabana,47.63,-52.95,57.0,93,90,11.41,CA,1597450512
363,Amahai,-3.33,128.92,79.56,82,82,1.43,ID,1597450513
364,Sittwe,20.15,92.9,81.09,84,100,17.27,MM,1597450513
365,Bundaberg,-24.85,152.35,73.4,64,40,17.22,AU,1597450513
366,Wahiawā,21.5,-158.02,87.8,54,1,12.75,US,1597450320
367,Tautira,-17.73,-149.15,82.4,69,75,9.17,PF,1597450513
368,Pangkalanbuun,-2.68,111.62,76.8,91,50,2.08,ID,1597450514
369,Būlaevo,54.91,70.44,48.33,83,4,1.36,KZ,1597450514
370,Coyhaique,-45.58,-72.07,37.4,64,40,12.75,CL,1597450514
371,Swan Hill,-35.34,143.55,53.22,88,41,5.19,AU,1597450515
372,Alabaster,33.24,-86.82,80.01,88,90,4.7,US,1597450504
